BIPA	GRAPHEME	COUNT	SYMBOLS
a	a	157	◌a
ai	ai	27	◌a ◌i
au	au	24	◌a ◌u
ã	ã	11	◌a ◌̃
ãĩ	ãĩ	6	◌a ◌̃ ◌i ◌̃
ãũ	ãũ	5	◌a ◌̃ ◌u ◌̃
b	b	4	◌b
d	d	2	◌d
dz	dz	1	◌d ◌z
dʑ	dʑ	2	◌d ◌ʑ
e	e	39	◌e
ei	ei	20	◌e ◌i
eu	eu	1	◌e ◌u
ẽ	ẽ	15	◌e ◌̃
e̞	ᴇ	7	◌e ◌̞
f	f	15	◌f
g	g	4	◌g
h	h	8	◌h
i	i	236	◌i
ĩ	ĩ	21	◌i ◌̃
j	j	3	◌j
k	k	63	◌k
kʰ	k’	1	◌k ◌ʰ
kʰ	k’	17	◌k ◌ʰ
kʷ	kw	2	◌k ◌ʷ
kʷʰ	k’w	2	◌k ◌ʷ ◌ʰ
l	l	16	◌l
l̩	l̩	1	◌l ◌̩
m	m	37	◌m
m̩	m̩	9	◌m ◌̩
n	n	98	◌n
n̩	n̩	6	◌n ◌̩
o	o	55	◌o
oi	oi	3	◌o ◌i
ou	ou	13	◌o ◌u
õ	õ	2	◌o ◌̃
õĩ	õĩ	1	◌o ◌̃ ◌i ◌̃
õũ	õũ	1	◌o ◌̃ ◌u ◌̃
p	p	37	◌p
pf	pf	1	◌p ◌f
pfʰ	pf’	1	◌p ◌f ◌ʰ
pʰ	p’	1	◌p ◌ʰ
pʰ	p’	17	◌p ◌ʰ
s	s	16	◌s
t	t	61	◌t
ts	ts	16	◌t ◌s
tsʰ	ts’	16	◌t ◌s ◌ʰ
tɕ	tɕ	12	◌t ◌ɕ
tɕʰ	tɕ’	12	◌t ◌ɕ ◌ʰ
tʃ	tʃ	2	◌t ◌ʃ
tʃʰ	tʃ’	1	◌t ◌ʃ ◌ʰ
tʃʰ	tʃ’	1	◌t ◌ʃ ◌ʰ
tʰ	t’	1	◌t ◌ʰ
tʰ	t’	17	◌t ◌ʰ
u	u	198	◌u
ũ	ũ	12	◌u ◌̃
v	v	5	◌v
w	w	2	◌w
x	x	10	◌x
y	y	66	◌y
z	z	6	◌z
²	²	1	◌²
²²	²²	2	◌² ◌²
²³	²³	4	◌² ◌³
²¹	²¹	8	◌² ◌¹
²¹	²¹_	1	◌² ◌¹
²¹	²⁴/²¹	1	◌² ◌¹
²¹²	²¹²	1	◌² ◌¹ ◌²
²¹³	²¹/²¹³	1	◌² ◌¹ ◌³
²¹³	²¹³	5	◌² ◌¹ ◌³
²¹³	³⁵/²¹³	1	◌² ◌¹ ◌³
²¹⁴	²¹/²¹⁴	1	◌² ◌¹ ◌⁴
²¹⁴	²¹⁴	1	◌² ◌¹ ◌⁴
²¹⁴	³⁵/²¹⁴	1	◌² ◌¹ ◌⁴
²⁴	²⁴	8	◌² ◌⁴
²⁴	²⁴_	1	◌² ◌⁴
²⁴²	²⁴²	1	◌² ◌⁴ ◌²
³²	³²	1	◌³ ◌²
³³	³³	7	◌³ ◌³
³¹	³¹	7	◌³ ◌¹
³⁴	³⁴	1	◌³ ◌⁴
³⁵	³⁵	4	◌³ ◌⁵
¹²	¹²	2	◌¹ ◌²
¹³	¹³	3	◌¹ ◌³
¹¹	¹¹	3	◌¹ ◌¹
æ	æ	7	◌æ
æ̃	æ̃	10	◌æ ◌̃
ø	ø	7	◌ø
øy	øy	5	◌ø ◌y
ŋ	ŋ	132	◌ŋ
ŋ̍	ŋ̍	10	◌ŋ ◌̍
œ	œ	4	◌œ
ȵ	ȵ	9	◌ȵ
ɐ	ɐ	16	◌ɐ
ɐi	ɐi	2	◌ɐ ◌i
ɐu	ɐu	2	◌ɐ ◌u
ɑ	ɑ	14	◌ɑ
ɑu	ɑu	2	◌ɑ ◌u
ɑ̃	ɑ̃	3	◌ɑ ◌̃
ɒ	ɒ	8	◌ɒ
ɔ	ɔ	49	◌ɔ
ɔi	ɔi	4	◌ɔ ◌i
ɔu	ɔu	1	◌ɔ ◌u
ɔ̃	ɔ̃	2	◌ɔ ◌̃
ɕ	ɕ	12	◌ɕ
ə	ə	47	◌ə
əi	əi	2	◌ə ◌i
əu	əu	10	◌ə ◌u
ə˞	ɚ	5	◌ə ◌˞
ə̃	ə̃	3	◌ə ◌̃
ɛ	ɛ	40	◌ɛ
ɛu	ɛu	4	◌ɛ ◌u
ɛ̃	ɛ̃	2	◌ɛ ◌̃
ɜ	ɜ	1	◌ɜ
ɤ	ɤ	4	◌ɤ
ɤɯ	ɤɯ	2	◌ɤ ◌ɯ
ɦ	ɦ	2	◌ɦ
ɪ	ɪ	6	◌ɪ
ɪ̃	ɪ̃	1	◌ɪ ◌̃
ɬ	ɬ	1	◌ɬ
ɯ	ɯ	5	◌ɯ
ɿ	ɿ	14	◌ɿ
ʂ	ʂ	5	◌ʂ
ʃ	ʃ	2	◌ʃ
ʅ	ʅ	5	◌ʅ
ʈʂ	tʂ	5	◌ʈ ◌ʂ
ʈʂʰ	tʂ’	5	◌ʈ ◌ʂ ◌ʰ
ʊ	ʊ	4	◌ʊ
ʊ̃	ʊ̃	1	◌ʊ ◌̃
ʏ	ʏ	3	◌ʏ
ʐ	ʐ	5	◌ʐ
ʔ	ʔ	92	◌ʔ
ʮ	ʮ	1	◌ʮ
⁰	⁰	10	◌⁰
⁴	⁴	6	◌⁴
⁴²	⁴²	5	◌⁴ ◌²
⁴¹	⁴¹	3	◌⁴ ◌¹
⁴⁴	⁴⁴	6	◌⁴ ◌⁴
⁴⁴³	⁴⁴³	1	◌⁴ ◌⁴ ◌³
⁴⁴³	⁴⁴³_	1	◌⁴ ◌⁴ ◌³
⁴⁵	⁴⁵	2	◌⁴ ◌⁵
⁴⁵⁴	⁴⁵⁴	1	◌⁴ ◌⁵ ◌⁴
⁴⁵⁴	⁴⁵⁴_	1	◌⁴ ◌⁵ ◌⁴
⁵	⁵	3	◌⁵
⁵²	⁵²	1	◌⁵ ◌²
⁵³	⁵³	6	◌⁵ ◌³
⁵¹	⁵¹	2	◌⁵ ◌¹
⁵¹³	⁵¹³	1	◌⁵ ◌¹ ◌³
⁵⁵	⁵⁵	9	◌⁵ ◌⁵
